epsilon_prob,delta,epochs,best_acc,best_acc_weights
0.1,0.001,27785,tensor(0.7532),"tensor([[-0.0985, -0.0201,  0.6815,  0.0185,  0.1754,  0.1482,  0.1716, -0.1240],
        [-0.1908,  0.4818, -0.5100, -0.1894,  0.2498, -0.0632,  0.3719,  0.0225]])"
0.001,0.1,421,tensor(0.7468),"tensor([[ 1.6435, -1.1281,  2.3225,  0.0795, -1.8896, -1.4998, -0.6494, -0.8820],
        [ 0.4792,  0.5048, -2.2900, -1.1304, -3.6872,  1.2258,  3.5689, -1.7715]])"
1e-05,0.1,3513,tensor(0.7403),"tensor([[ 0.4435,  0.3719,  1.6225,  8.7795,  2.2104,  2.3002,  2.9506,  2.9180],
        [ 4.2792,  3.2048, -3.0900, -1.3304, -3.7872,  0.7258,  4.0689,  0.1285]])"
0.1,0.1,72,tensor(0.7143),"tensor([[ 1.0435e+00,  1.9719e+00,  1.6225e+00, -1.2050e-01, -2.2896e+00,
          2.0005e-04,  1.5506e+00,  6.1800e-01],
        [-2.2080e-01, -1.0952e+00,  1.0000e-02, -1.7304e+00, -5.8720e-01,
         -1.3742e+00, -8.3110e-01,  1.0285e+00]])"
1e-05,0.001,47923,tensor(0.7143),"tensor([[ 0.1605,  0.0249,  0.4765, -0.3455,  0.1484,  0.4962,  0.0086, -0.2900],
        [-0.2478, -0.0272, -0.5160, -0.2794,  0.3838, -0.1682,  0.1629,  0.0495]])"
0.01,0.1,25,tensor(0.7143),"tensor([[-0.2565,  0.0719,  0.5225,  0.9795, -0.7896,  0.3002, -0.6494, -0.4820],
        [ 0.0792,  0.4048, -0.6900, -0.3304, -0.2872, -0.5742,  0.0689, -0.5715]])"
0.0001,0.1,130,tensor(0.7143),"tensor([[ 0.1435,  0.4719, -0.7775, -1.0205, -1.5896,  1.1002, -0.5494, -1.0820],
        [ 0.6792,  0.2048, -2.1900, -0.6304, -1.1872, -1.1742,  0.4689,  1.1285]])"
0.1,0.01,71,tensor(0.7078),"tensor([[-0.0265, -0.0281,  0.4425, -0.3105,  0.0104,  0.0602,  0.5906, -0.3520],
        [-0.4308, -0.0552, -0.6400,  0.0196,  0.1628, -0.3242,  0.2989, -0.0815]])"
1e-05,0.01,12997,tensor(0.7078),"tensor([[-0.3465, -0.4681,  0.4725,  0.7395, -0.0496, -0.5098,  0.1006, -0.0720],
        [-0.8108, -0.1052, -2.3600,  0.9796,  0.4628, -0.5342, -0.0311,  0.9585]])"
0.0001,0.001,11599,tensor(0.7078),"tensor([[ 0.0105,  0.1109,  0.4355, -0.0665, -0.0996,  0.3422,  0.1676, -0.1780],
        [-0.3278,  0.0498, -0.4280, -0.1354,  0.1738, -0.3542,  0.2169, -0.0465]])"
0.0001,0.01,28807,tensor(0.7078),"tensor([[ 0.4435, -0.3581,  1.0325,  0.2795, -0.1396, -0.1198, -1.3394, -0.0020],
        [-1.6608, -0.5052,  0.7900, -0.9404, -0.5572,  0.5558, -1.1011,  0.2685]])"
0.001,0.001,4267,tensor(0.7078),"tensor([[ 0.0985,  0.0089,  0.4435, -0.0745, -0.0546,  0.2572,  0.2306, -0.2800],
        [-0.2568,  0.1438, -0.4620, -0.2504,  0.2468, -0.1862,  0.1129, -0.0535]])"
0.001,0.01,730,tensor(0.7078),"tensor([[ 0.5135,  0.1319,  0.8225, -0.0405, -0.0296,  0.3602,  0.0906, -0.0820],
        [-0.2308, -0.1252, -0.3300, -0.0404,  0.3728, -0.3642, -0.1011,  0.1485]])"
